id;identificaciontitular;nombre_titular;apellido_titular;numero_cuenta;tipo_cuenta;codigo_seguridad;fecha_vencimiento
1;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;2019-06-28
2;migration;Investment Account Ohio;deliver Pine;Haiti;Advanced Awesome Rubber Mouse;payment connect Berkshire;2019-06-28
3;Operations indexing Lead;leading-edge enable synthesize;Operative Place;generate 1080p;capacitor Andorra overriding;Outdoors deposit;2019-06-27
4;Profound Markets Intelligent Frozen Shoes;yellow Shoes;Open-source multi-tasking;Data;Moldova archive;monitor morph;2019-06-27
5;bypassing Christmas Island;Dong;haptic;card;multi-byte;Universal;2019-06-27
6;Avon neural;integrate New Caledonia;Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;2019-06-27
7;navigate Idaho Seamless;object-oriented;navigating New Leu primary;Savings Account Landing Delaware;Re-engineered;RSS sky blue Intelligent;2019-06-28
8;deposit;sky blue deposit;benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;2019-06-28
9;innovative bypassing Credit Card Account;Virginia reciprocal;asymmetric;Investor maroon;one-to-one;extensible Practical Granite Bacon;2019-06-28
10;primary Profit-focused Ethiopia;Credit Card Account Pataca Function-based;collaboration Aruban Guilder;reintermediate efficient Producer;Hill Awesome Rubber Computer;Directives payment override;2019-06-28
